Player,Salary,Team
Pablo Prigioni," $1,050,961.00 ",HOU
Pascal Siakam," $1,196,040.00 ",TOR
Pat Connaughton," $874,636.00 ",POR
Patricio Garino," $100,000.00 ",SAS
Patricio Garino," $31,969.00 ",ORL
Patrick Beverley," $6,000,000.00 ",HOU
Patrick McCaw," $543,471.00 ",GSW
Patrick Patterson," $6,050,000.00 ",TOR
Patty Mills," $3,578,948.00 ",SAS
Pau Gasol," $15,500,000.00 ",SAS
Paul George," $18,314,532.00 ",IND
Paul Millsap," $20,072,033.00 ",ATL
Paul Pierce," $3,500,000.00 ",LAC
Paul Zipser," $750,000.00 ",CHI
Phil Pressey," $35,000.00 ",GSW
Pierre Jackson," $105,498.00 ",DAL
Prince Ibeh," $31,969.00 ",NJN
Quincy Acy," $1,914,544.00 ",NJN
Quincy Acy," $1,050,961.00 ",DAL
Quincy Ford," $75,000.00 ",UTA
Quincy Pondexter," $3,617,978.00 ",NOH
Quinn Cook," $79,922.00 ",NOH
Quinn Cook," $31,969.00 ",DAL
R.J. Hunter," $1,200,240.00 ",BOS
R.J. Hunter," $425,000.00 ",CHI
Rajon Rondo," $14,000,000.00 ",CHI
Rakeem Christmas," $1,052,342.00 ",IND
Ramon Sessions," $6,000,000.00 ",CHA
Randy Foye," $2,500,000.00 ",NJN
Rashad Vaughn," $1,811,040.00 ",MIL
Raul Neto," $937,800.00 ",UTA
Ray McCallum," $119,494.00 ",CHA
Ray McCallum," $11,949.00 ",DET
Raymond Felton," $1,551,659.00 ",LAC
Reggie Bullock," $2,255,644.00 ",DET
Reggie Jackson," $14,956,522.00 ",DET
Reggie Williams," $252,676.00 ",NOH
Reggie Williams," $50,000.00 ",OKC
Richard Jefferson," $2,500,000.00 ",CLE
Richaun Holmes," $1,025,831.00 ",PHI
Ricky Rubio," $13,550,000.00 ",MIN
Robbie Hummel," $150,000.00 ",DEN
Robert Covington," $1,015,696.00 ",PHI
Robin Lopez," $13,219,250.00 ",CHI
Rodney Hood," $1,406,520.00 ",UTA
Rodney McGruder," $543,471.00 ",MIA
Rodney Stuckey," $7,000,000.00 ",IND
Ron Baker," $543,471.00 ",NYK
Rondae Hollis-Jefferson," $1,395,600.00 ",NJN
Ronnie Price," $2,557,545.00 ",OKC
Ronnie Price," $465,143.00 ",PHO
Roy Hibbert," $5,000,000.00 ",DEN
Rudy Gay," $13,333,333.00 ",SAC
Rudy Gobert," $2,121,288.00 ",UTA
Russell Westbrook," $26,540,100.00 ",OKC
Ryan Anderson," $18,735,364.00 ",HOU
Ryan Arcidiacono," $75,000.00 ",SAS
Ryan Kelly," $418,228.00 ",ATL
Salah Mejri," $874,636.00 ",DAL
Sam Dekker," $1,720,560.00 ",HOU
Sasha Kaun," $1,333,420.00 ",PHI
Sasha Vujacic," $1,410,598.00 ",NYK
Scott Wood," $50,000.00 ",GSW
Sean Kilpatrick," $980,431.00 ",NJN
Semaj Christon," $543,471.00 ",OKC
Serge Ibaka," $12,250,000.00 ",TOR
Sergio Rodriguez," $8,000,000.00 ",PHI
Seth Curry," $2,898,000.00 ",DAL
Shabazz Muhammad," $3,046,299.00 ",MIN
Shabazz Napier," $1,350,120.00 ",POR
Shaun Livingston," $5,782,450.00 ",GSW
Shawn Long," $96,969.00 ",PHI
Sheldon McClellan," $543,471.00 ",WAS
Shelvin Mack," $2,433,334.00 ",UTA
Skal Labissiere," $1,188,840.00 ",SAC
Solomon Hill," $11,241,218.00 ",NOH
Spencer Dinwiddie," $726,672.00 ",NJN
Spencer Hawes," $6,348,759.00 ",MIL
Stanley Johnson," $2,969,880.00 ",DET
Stefan Jankovic," $100,000.00 ",MIA
Stephen Curry," $12,112,359.00 ",GSW
Stephen Zimmerman," $950,000.00 ",ORL
Steve Novak," $1,551,659.00 ",MIL
Steven Adams," $3,140,517.00 ",OKC
T.J. McConnell," $874,636.00 ",PHI
T.J. Warren," $2,128,920.00 ",PHO
Taj Gibson," $8,950,000.00 ",OKC
Tarik Black," $6,191,000.00 ",LAL
Taurean Waller-Prince," $2,318,280.00 ",ATL
Terrence Jones," $1,050,961.00 ",NOH
Terrence Jones," $236,457.00 ",MIL
Terrence Ross," $10,000,000.00 ",ORL
Terry Rozier," $1,906,440.00 ",BOS
