Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Stephen Curry,PG,28,GSW,79,79,2638,24.6,0.251,7.3,31.1,30.1,8.6,3.9,12.6,6.2,1443,0.468,0.411,0.58,353,523,143,17,1999
Stephen Zimmerman,C,20,ORL,19,0,108,7.3,0.161,17.6,5.3,14.8,-0.1,0.1,0,-0.1,31,0.323,0,0.323,35,4,2,5,23
Steve Novak,PF,33,MIL,8,0,22,1.3,0,7.9,0,14.5,0,0,0,-0.1,7,0.286,0.167,0.357,3,0,0,0,5
Steven Adams,C,23,OKC,80,80,2389,16.5,0.392,14.2,5.4,16.2,3.3,3.1,6.4,1.5,655,0.571,0,0.571,615,86,88,78,905
T.J. McConnell,PG,24,PHI,81,51,2133,13.7,0.176,6.5,37.5,14.4,1.4,2.4,3.8,0,512,0.461,0.2,0.472,251,534,134,10,556
T.J. Warren,SF,23,PHO,66,59,2048,15.6,0.189,9,5.8,19.2,3,1.1,4.1,0.9,814,0.495,0.265,0.511,339,75,76,39,951
Taj Gibson,PF,31,TOT,78,71,1989,15.1,0.223,13.2,5.9,19.3,1.6,2.5,4,0,709,0.515,0.231,0.517,486,73,42,66,846
Tarik Black,C,25,LAL,67,16,1091,15,0.371,17.1,5.3,15.7,1.5,0.9,2.4,0.1,294,0.51,0.5,0.512,342,39,30,44,383
Taurean Waller-Prince,SF,22,ATL,59,10,981,9.8,0.33,8.8,8.4,17.2,-0.4,1.5,1.1,-0.1,285,0.4,0.324,0.458,157,55,43,27,335
Terrence Jones,PF,25,TOT,54,12,1270,16.1,0.346,12.7,7.3,21.4,0.4,1.9,2.3,0.2,491,0.47,0.253,0.49,306,58,40,54,584
Terrence Ross,SF,25,TOT,78,24,1955,13.4,0.103,5.9,7.1,19.3,1.5,2,3.5,0.9,746,0.437,0.363,0.532,207,88,88,33,858
Terry Rozier,PG,22,BOS,74,0,1263,10.8,0.161,10,15.2,17.1,0,1.4,1.4,-0.2,411,0.367,0.318,0.437,227,131,45,11,410
Thabo Sefolosha,SF,32,ATL,62,42,1596,11.9,0.19,9.3,9.9,13.3,0.6,2.7,3.3,1.3,395,0.441,0.342,0.492,270,107,96,31,444
Thaddeus Young,PF,28,IND,74,74,2237,14.9,0.125,11.3,8.4,16.5,1.9,2.7,4.6,2,687,0.527,0.381,0.56,449,122,114,30,814
Thomas Robinson,PF,25,LAL,48,1,560,17.3,0.337,21.8,8.8,20.7,0.3,0.6,0.9,0,196,0.536,0,0.536,223,31,26,9,241
Thon Maker,C,19,MIL,57,34,562,14,0.271,11.8,6.2,17.8,0.8,0.5,1.3,0.1,181,0.459,0.378,0.536,114,23,10,26,226
Tiago Splitter,C,32,PHI,8,0,76,15,0.355,15.9,8.9,23.9,0.1,0.1,0.1,-0.1,31,0.452,0.333,0.484,22,4,1,1,39
Tim Frazier,PG,26,NOP,65,35,1525,12.4,0.319,6,31.4,16.3,1,1.4,2.4,-0.1,404,0.403,0.313,0.453,173,335,56,6,464
Tim Hardaway,SG,24,ATL,79,30,2154,15.2,0.235,5.7,14.3,22.5,2.7,2.1,4.8,0.9,912,0.455,0.357,0.537,224,182,55,15,1143
Tim Quarterman,SG,22,POR,16,0,80,10.2,0.103,9.7,21.1,22.8,-0.1,0.1,-0.1,-0.1,29,0.448,0.385,0.534,14,11,2,3,31
Timofey Mozgov,C,30,LAL,54,52,1104,12.3,0.238,13.1,5.9,16.8,0.7,0.4,1.1,-0.4,328,0.515,0,0.515,264,43,16,31,401
Timothe Luwawu-Cabarrot,SF,21,PHI,69,19,1190,8.5,0.341,6.9,9.6,17.8,0,0.8,0.8,-0.6,361,0.402,0.311,0.471,149,75,32,10,445
Tobias Harris,PF,24,DET,82,48,2567,16.9,0.213,8.8,8.8,21.7,4,2.8,6.9,2.1,1063,0.481,0.347,0.532,416,142,60,39,1321
Tomas Satoransky,SG,25,WAS,57,3,719,8.5,0.226,6.5,16.7,12.1,0.1,0.5,0.6,-0.2,146,0.418,0.243,0.449,83,92,26,6,154
Toney Douglas,PG,30,MEM,24,0,394,10.6,0.248,8.9,22.2,17.4,0,0.5,0.5,0.1,117,0.368,0.167,0.397,61,56,18,5,117
Tony Allen,SG,35,MEM,71,66,1914,13.3,0.218,11.7,8.4,17.9,0.2,2.9,3.1,1.3,595,0.461,0.278,0.473,391,98,115,29,643
Tony Parker,PG,34,SAS,63,63,1587,13,0.206,4,27.8,20.2,1.4,1.7,3,-0.4,569,0.466,0.333,0.486,113,285,33,2,638
Tony Snell,SG,25,MIL,80,80,2336,9.7,0.107,6.2,5.9,12.1,2.1,1.3,3.4,0.7,541,0.455,0.406,0.588,248,96,54,14,683
Treveon Graham,SG,23,CHO,27,1,189,10.6,0.375,6.4,4.7,11.8,0.3,0.2,0.4,0,40,0.475,0.6,0.588,22,6,6,1,57
Trevor Ariza,SF,31,HOU,80,80,2773,12.3,0.158,9,8.8,14.1,2.8,3.2,6,2.6,798,0.409,0.344,0.528,459,175,147,20,936
Trevor Booker,PF,29,BRK,71,43,1754,15.7,0.186,17.2,12.9,18.7,0.9,2.2,3.1,1,591,0.516,0.321,0.537,570,138,76,28,709
Trey Burke,PG,24,WAS,57,0,703,10.8,0.114,3.8,20.7,19.6,0.3,0.3,0.5,-0.7,255,0.455,0.443,0.516,47,100,11,5,285
Trey Lyles,PF,21,UTA,71,4,1158,10,0.18,11.7,9.6,21.7,-0.9,1.6,0.8,-0.3,439,0.362,0.319,0.436,235,70,26,20,440
Tristan Thompson,C,25,CLE,78,78,2336,15.3,0.487,16.9,4.6,11.3,5,2.3,7.3,2.1,437,0.6,0,0.6,716,77,39,84,630
Troy Daniels,SG,25,MEM,67,3,1183,10.4,0.109,4.8,6.6,21.7,0.5,0.8,1.3,-0.3,495,0.374,0.389,0.513,100,46,21,4,551
Troy Williams,SF,22,TOT,30,16,557,8.9,0.192,7,7,17.2,-0.4,0.7,0.3,-0.1,167,0.437,0.29,0.491,69,25,27,10,185
Ty Lawson,PG,29,SAC,69,24,1732,15.4,0.416,6,30,19.5,2.2,1,3.2,0.3,522,0.454,0.288,0.487,179,335,74,6,681
Tyler Ennis,PG,22,TOT,53,2,588,11,0.12,4.3,21.7,19.1,0.1,0.3,0.4,-0.4,208,0.433,0.386,0.498,46,86,26,2,228
Tyler Johnson,PG,24,MIA,73,0,2178,15.9,0.308,7.4,16.6,20.9,3.1,2.7,5.8,1.9,824,0.433,0.372,0.49,293,233,84,44,1002
Tyler Ulis,PG,21,PHO,61,15,1123,13,0.162,4.6,30.5,20.3,0.3,0.4,0.7,-0.6,437,0.421,0.266,0.445,95,226,48,5,444
Tyler Zeller,C,27,BOS,51,5,525,13,0.247,13.2,12.2,16.5,0.5,0.6,1,-0.1,158,0.494,0,0.494,124,42,7,21,178
Tyreke Evans,SF,27,TOT,40,6,788,15.5,0.249,9.5,25.9,26.7,-0.2,0.9,0.7,0.2,370,0.405,0.356,0.462,137,124,35,9,411
